rep_id,territory_id,territory_name,state,district,tehsil_list
REP_0011,TER_0011,sehore_north_011,Madhya Pradesh,Sehore,"[""Sehore_T001"", ""Sehore_T002"", ""Sehore_T003"", ""Sehore_T004"", ""Sehore_T005"", ""Sehore_T006"", ""Sehore_T007"", ""Sehore_T008"", ""Sehore_T009"", ""Sehore_T010"", ""Sehore_T011""]"
REP_0012,TER_0012,ahmedabad_south_012,Gujarat,Ahmedabad,"[""Ahmedabad_T001"", ""Ahmedabad_T002"", ""Ahmedabad_T003"", ""Ahmedabad_T004"", ""Ahmedabad_T005"", ""Ahmedabad_T006"", ""Ahmedabad_T007"", ""Ahmedabad_T008"", ""Ahmedabad_T009"", ""Ahmedabad_T010"", ""Ahmedabad_T011""]"
REP_0013,TER_0013,agra_east_013,Uttar Pradesh,Agra,"[""Agra_T001"", ""Agra_T002"", ""Agra_T003"", ""Agra_T004"", ""Agra_T005"", ""Agra_T006"", ""Agra_T007"", ""Agra_T008"", ""Agra_T009"", ""Agra_T010""]"
REP_0014,TER_0014,bardhaman_west_014,West Bengal,Bardhaman,"[""Bardhaman_T001"", ""Bardhaman_T002"", ""Bardhaman_T003"", ""Bardhaman_T004"", ""Bardhaman_T005"", ""Bardhaman_T006""]"
REP_0015,TER_0015,akola_central_015,Maharashtra,Akola,"[""Akola_T001"", ""Akola_T002"", ""Akola_T003"", ""Akola_T004"", ""Akola_T005"", ""Akola_T006"", ""Akola_T007"", ""Akola_T008"", ""Akola_T009"", ""Akola_T010"", ""Akola_T011"", ""Akola_T012"", ""Akola_T013""]"
REP_0016,TER_0016,sirsa_north_016,Haryana,Sirsa,"[""Sirsa_T001"", ""Sirsa_T002"", ""Sirsa_T003"", ""Sirsa_T004"", ""Sirsa_T005"", ""Sirsa_T006"", ""Sirsa_T007"", ""Sirsa_T008"", ""Sirsa_T009"", ""Sirsa_T010"", ""Sirsa_T011"", ""Sirsa_T012"", ""Sirsa_T013"", ""Sirsa_T014""]"
REP_0017,TER_0017,amravati_south_017,Maharashtra,Amravati,"[""Amravati_T001"", ""Amravati_T002"", ""Amravati_T003"", ""Amravati_T004"", ""Amravati_T005"", ""Amravati_T006"", ""Amravati_T007""]"
REP_0018,TER_0018,ludhiana_east_018,Punjab,Ludhiana,"[""Ludhiana_T001"", ""Ludhiana_T002"", ""Ludhiana_T003"", ""Ludhiana_T004"", ""Ludhiana_T005"", ""Ludhiana_T006"", ""Ludhiana_T007"", ""Ludhiana_T008"", ""Ludhiana_T009"", ""Ludhiana_T010"", ""Ludhiana_T011"", ""Ludhiana_T012""]"
REP_0019,TER_0019,kalaburagi_west_019,Karnataka,Kalaburagi,"[""Kalaburagi_T001"", ""Kalaburagi_T002"", ""Kalaburagi_T003"", ""Kalaburagi_T004"", ""Kalaburagi_T005"", ""Kalaburagi_T006"", ""Kalaburagi_T007""]"
REP_0020,TER_0020,jaipur_central_020,Rajasthan,Jaipur,"[""Jaipur_T001"", ""Jaipur_T002"", ""Jaipur_T003"", ""Jaipur_T004"", ""Jaipur_T005"", ""Jaipur_T006"", ""Jaipur_T007"", ""Jaipur_T008"", ""Jaipur_T009"", ""Jaipur_T010"", ""Jaipur_T011"", ""Jaipur_T012"", ""Jaipur_T013"", ""Jaipur_T014""]"
REP_0021,TER_0021,ujjain_north_021,Madhya Pradesh,Ujjain,"[""Ujjain_T001"", ""Ujjain_T002"", ""Ujjain_T003"", ""Ujjain_T004"", ""Ujjain_T005"", ""Ujjain_T006"", ""Ujjain_T007"", ""Ujjain_T008"", ""Ujjain_T009"", ""Ujjain_T010""]"
REP_0022,TER_0022,bathinda_south_022,Punjab,Bathinda,"[""Bathinda_T001"", ""Bathinda_T002"", ""Bathinda_T003"", ""Bathinda_T004"", ""Bathinda_T005"", ""Bathinda_T006"", ""Bathinda_T007"", ""Bathinda_T008"", ""Bathinda_T009"", ""Bathinda_T010"", ""Bathinda_T011""]"
REP_0023,TER_0023,indore_east_023,Madhya Pradesh,Indore,"[""Indore_T001"", ""Indore_T002"", ""Indore_T003"", ""Indore_T004"", ""Indore_T005"", ""Indore_T006"", ""Indore_T007"", ""Indore_T008"", ""Indore_T009""]"
REP_0024,TER_0024,rajkot_west_024,Gujarat,Rajkot,"[""Rajkot_T001"", ""Rajkot_T002"", ""Rajkot_T003"", ""Rajkot_T004"", ""Rajkot_T005"", ""Rajkot_T006"", ""Rajkot_T007""]"
REP_0025,TER_0025,patiala_central_025,Punjab,Patiala,"[""Patiala_T001"", ""Patiala_T002"", ""Patiala_T003"", ""Patiala_T004"", ""Patiala_T005"", ""Patiala_T006""]"
REP_0026,TER_0026,nadia_north_026,West Bengal,Nadia,"[""Nadia_T001"", ""Nadia_T002"", ""Nadia_T003"", ""Nadia_T004"", ""Nadia_T005"", ""Nadia_T006"", ""Nadia_T007"", ""Nadia_T008"", ""Nadia_T009""]"
REP_0027,TER_0027,karnal_south_027,Haryana,Karnal,"[""Karnal_T001"", ""Karnal_T002"", ""Karnal_T003"", ""Karnal_T004"", ""Karnal_T005"", ""Karnal_T006"", ""Karnal_T007"", ""Karnal_T008"", ""Karnal_T009"", ""Karnal_T010""]"
REP_0028,TER_0028,muzaffarpur_east_028,Bihar,Muzaffarpur,"[""Muzaffarpur_T001"", ""Muzaffarpur_T002"", ""Muzaffarpur_T003"", ""Muzaffarpur_T004"", ""Muzaffarpur_T005"", ""Muzaffarpur_T006"", ""Muzaffarpur_T007""]"
REP_0029,TER_0029,vijayapura_west_029,Karnataka,Vijayapura,"[""Vijayapura_T001"", ""Vijayapura_T002"", ""Vijayapura_T003"", ""Vijayapura_T004"", ""Vijayapura_T005"", ""Vijayapura_T006"", ""Vijayapura_T007"", ""Vijayapura_T008"", ""Vijayapura_T009""]"
REP_0030,TER_0030,meerut_central_030,Uttar Pradesh,Meerut,"[""Meerut_T001"", ""Meerut_T002"", ""Meerut_T003"", ""Meerut_T004"", ""Meerut_T005"", ""Meerut_T006"", ""Meerut_T007""]"
REP_0031,TER_0031,mehsana_north_031,Gujarat,Mehsana,"[""Mehsana_T001"", ""Mehsana_T002"", ""Mehsana_T003"", ""Mehsana_T004"", ""Mehsana_T005"", ""Mehsana_T006"", ""Mehsana_T007"", ""Mehsana_T008"", ""Mehsana_T009"", ""Mehsana_T010"", ""Mehsana_T011"", ""Mehsana_T012""]"
REP_0032,TER_0032,amritsar_south_032,Punjab,Amritsar,"[""Amritsar_T001"", ""Amritsar_T002"", ""Amritsar_T003"", ""Amritsar_T004"", ""Amritsar_T005"", ""Amritsar_T006"", ""Amritsar_T007"", ""Amritsar_T008"", ""Amritsar_T009"", ""Amritsar_T010""]"
REP_0033,TER_0033,rohtak_east_033,Haryana,Rohtak,"[""Rohtak_T001"", ""Rohtak_T002"", ""Rohtak_T003"", ""Rohtak_T004"", ""Rohtak_T005"", ""Rohtak_T006"", ""Rohtak_T007"", ""Rohtak_T008"", ""Rohtak_T009"", ""Rohtak_T010"", ""Rohtak_T011"", ""Rohtak_T012"", ""Rohtak_T013""]"
REP_0034,TER_0034,patna_west_034,Bihar,Patna,"[""Patna_T013"", ""Patna_T014"", ""Patna_T015"", ""Patna_T016"", ""Patna_T017"", ""Patna_T018"", ""Patna_T019"", ""Patna_T020"", ""Patna_T021"", ""Patna_T022"", ""Patna_T023""]"
REP_0035,TER_0035,hisar_central_035,Haryana,Hisar,"[""Hisar_T012"", ""Hisar_T013"", ""Hisar_T014"", ""Hisar_T015"", ""Hisar_T016"", ""Hisar_T017"", ""Hisar_T018"", ""Hisar_T019""]"
REP_0036,TER_0036,varanasi_north_036,Uttar Pradesh,Varanasi,"[""Varanasi_T011"", ""Varanasi_T012"", ""Varanasi_T013"", ""Varanasi_T014"", ""Varanasi_T015"", ""Varanasi_T016"", ""Varanasi_T017"", ""Varanasi_T018"", ""Varanasi_T019"", ""Varanasi_T020"", ""Varanasi_T021""]"
REP_0037,TER_0037,bharatpur_south_037,Rajasthan,Bharatpur,"[""Bharatpur_T009"", ""Bharatpur_T010"", ""Bharatpur_T011"", ""Bharatpur_T012"", ""Bharatpur_T013"", ""Bharatpur_T014"", ""Bharatpur_T015"", ""Bharatpur_T016"", ""Bharatpur_T017"", ""Bharatpur_T018"", ""Bharatpur_T019""]"
REP_0038,TER_0038,jalgaon_east_038,Maharashtra,Jalgaon,"[""Jalgaon_T010"", ""Jalgaon_T011"", ""Jalgaon_T012"", ""Jalgaon_T013"", ""Jalgaon_T014"", ""Jalgaon_T015"", ""Jalgaon_T016"", ""Jalgaon_T017"", ""Jalgaon_T018""]"
REP_0039,TER_0039,lucknow_west_039,Uttar Pradesh,Lucknow,"[""Lucknow_T012"", ""Lucknow_T013"", ""Lucknow_T014"", ""Lucknow_T015"", ""Lucknow_T016"", ""Lucknow_T017"", ""Lucknow_T018"", ""Lucknow_T019"", ""Lucknow_T020"", ""Lucknow_T021""]"
REP_0040,TER_0040,ratlam_central_040,Madhya Pradesh,Ratlam,"[""Ratlam_T008"", ""Ratlam_T009"", ""Ratlam_T010"", ""Ratlam_T011"", ""Ratlam_T012"", ""Ratlam_T013"", ""Ratlam_T014""]"
REP_0041,TER_0041,bikaner_north_041,Rajasthan,Bikaner,"[""Bikaner_T008"", ""Bikaner_T009"", ""Bikaner_T010"", ""Bikaner_T011"", ""Bikaner_T012"", ""Bikaner_T013"", ""Bikaner_T014"", ""Bikaner_T015""]"
REP_0042,TER_0042,kanpur_nagar_south_042,Uttar Pradesh,Kanpur Nagar,"[""Kanpur_Nagar_T013"", ""Kanpur_Nagar_T014"", ""Kanpur_Nagar_T015"", ""Kanpur_Nagar_T016"", ""Kanpur_Nagar_T017"", ""Kanpur_Nagar_T018"", ""Kanpur_Nagar_T019"", ""Kanpur_Nagar_T020"", ""Kanpur_Nagar_T021"", ""Kanpur_Nagar_T022"", ""Kanpur_Nagar_T023"", ""Kanpur_Nagar_T024"", ""Kanpur_Nagar_T025"", ""Kanpur_Nagar_T026""]"
REP_0043,TER_0043,sikar_east_043,Rajasthan,Sikar,"[""Sikar_T008"", ""Sikar_T009"", ""Sikar_T010"", ""Sikar_T011"", ""Sikar_T012"", ""Sikar_T013"", ""Sikar_T014"", ""Sikar_T015"", ""Sikar_T016""]"
REP_0044,TER_0044,sehore_west_044,Madhya Pradesh,Sehore,"[""Sehore_T012"", ""Sehore_T013"", ""Sehore_T014"", ""Sehore_T015"", ""Sehore_T016"", ""Sehore_T017"", ""Sehore_T018"", ""Sehore_T019""]"
REP_0045,TER_0045,ahmedabad_central_045,Gujarat,Ahmedabad,"[""Ahmedabad_T012"", ""Ahmedabad_T013"", ""Ahmedabad_T014"", ""Ahmedabad_T015"", ""Ahmedabad_T016"", ""Ahmedabad_T017"", ""Ahmedabad_T018"", ""Ahmedabad_T019"", ""Ahmedabad_T020"", ""Ahmedabad_T021"", ""Ahmedabad_T022"", ""Ahmedabad_T023"", ""Ahmedabad_T024""]"
REP_0046,TER_0046,agra_north_046,Uttar Pradesh,Agra,"[""Agra_T011"", ""Agra_T012"", ""Agra_T013"", ""Agra_T014"", ""Agra_T015"", ""Agra_T016"", ""Agra_T017"", ""Agra_T018"", ""Agra_T019"", ""Agra_T020"", ""Agra_T021"", ""Agra_T022""]"
REP_0047,TER_0047,bardhaman_south_047,West Bengal,Bardhaman,"[""Bardhaman_T007"", ""Bardhaman_T008"", ""Bardhaman_T009"", ""Bardhaman_T010"", ""Bardhaman_T011"", ""Bardhaman_T012"", ""Bardhaman_T013"", ""Bardhaman_T014"", ""Bardhaman_T015"", ""Bardhaman_T016""]"
REP_0048,TER_0048,akola_east_048,Maharashtra,Akola,"[""Akola_T014"", ""Akola_T015"", ""Akola_T016"", ""Akola_T017"", ""Akola_T018"", ""Akola_T019"", ""Akola_T020"", ""Akola_T021"", ""Akola_T022"", ""Akola_T023"", ""Akola_T024"", ""Akola_T025"", ""Akola_T026"", ""Akola_T027""]"
REP_0049,TER_0049,sirsa_west_049,Haryana,Sirsa,"[""Sirsa_T015"", ""Sirsa_T016"", ""Sirsa_T017"", ""Sirsa_T018"", ""Sirsa_T019"", ""Sirsa_T020"", ""Sirsa_T021"", ""Sirsa_T022"", ""Sirsa_T023""]"
REP_0050,TER_0050,amravati_central_050,Maharashtra,Amravati,"[""Amravati_T008"", ""Amravati_T009"", ""Amravati_T010"", ""Amravati_T011"", ""Amravati_T012"", ""Amravati_T013"", ""Amravati_T014"", ""Amravati_T015"", ""Amravati_T016"", ""Amravati_T017"", ""Amravati_T018""]"
REP_0051,TER_0051,ludhiana_north_051,Punjab,Ludhiana,"[""Ludhiana_T013"", ""Ludhiana_T014"", ""Ludhiana_T015"", ""Ludhiana_T016"", ""Ludhiana_T017"", ""Ludhiana_T018""]"
REP_0052,TER_0052,kalaburagi_south_052,Karnataka,Kalaburagi,"[""Kalaburagi_T008"", ""Kalaburagi_T009"", ""Kalaburagi_T010"", ""Kalaburagi_T011"", ""Kalaburagi_T012"", ""Kalaburagi_T013"", ""Kalaburagi_T014"", ""Kalaburagi_T015"", ""Kalaburagi_T016""]"
REP_0053,TER_0053,jaipur_east_053,Rajasthan,Jaipur,"[""Jaipur_T015"", ""Jaipur_T016"", ""Jaipur_T017"", ""Jaipur_T018"", ""Jaipur_T019"", ""Jaipur_T020""]"
REP_0054,TER_0054,ujjain_west_054,Madhya Pradesh,Ujjain,"[""Ujjain_T011"", ""Ujjain_T012"", ""Ujjain_T013"", ""Ujjain_T014"", ""Ujjain_T015"", ""Ujjain_T016"", ""Ujjain_T017"", ""Ujjain_T018"", ""Ujjain_T019"", ""Ujjain_T020"", ""Ujjain_T021""]"
REP_0055,TER_0055,bathinda_central_055,Punjab,Bathinda,"[""Bathinda_T012"", ""Bathinda_T013"", ""Bathinda_T014"", ""Bathinda_T015"", ""Bathinda_T016"", ""Bathinda_T017"", ""Bathinda_T018"", ""Bathinda_T019"", ""Bathinda_T020"", ""Bathinda_T021"", ""Bathinda_T022"", ""Bathinda_T023""]"
REP_0056,TER_0056,indore_north_056,Madhya Pradesh,Indore,"[""Indore_T010"", ""Indore_T011"", ""Indore_T012"", ""Indore_T013"", ""Indore_T014"", ""Indore_T015"", ""Indore_T016"", ""Indore_T017"", ""Indore_T018"", ""Indore_T019""]"
REP_0057,TER_0057,rajkot_south_057,Gujarat,Rajkot,"[""Rajkot_T008"", ""Rajkot_T009"", ""Rajkot_T010"", ""Rajkot_T011"", ""Rajkot_T012"", ""Rajkot_T013"", ""Rajkot_T014""]"
REP_0058,TER_0058,patiala_east_058,Punjab,Patiala,"[""Patiala_T007"", ""Patiala_T008"", ""Patiala_T009"", ""Patiala_T010"", ""Patiala_T011"", ""Patiala_T012"", ""Patiala_T013"", ""Patiala_T014"", ""Patiala_T015""]"
REP_0059,TER_0059,nadia_west_059,West Bengal,Nadia,"[""Nadia_T010"", ""Nadia_T011"", ""Nadia_T012"", ""Nadia_T013"", ""Nadia_T014"", ""Nadia_T015"", ""Nadia_T016"", ""Nadia_T017"", ""Nadia_T018"", ""Nadia_T019"", ""Nadia_T020""]"
REP_0060,TER_0060,karnal_central_060,Haryana,Karnal,"[""Karnal_T011"", ""Karnal_T012"", ""Karnal_T013"", ""Karnal_T014"", ""Karnal_T015"", ""Karnal_T016"", ""Karnal_T017"", ""Karnal_T018"", ""Karnal_T019""]"
REP_0061,TER_0061,muzaffarpur_north_061,Bihar,Muzaffarpur,"[""Muzaffarpur_T008"", ""Muzaffarpur_T009"", ""Muzaffarpur_T010"", ""Muzaffarpur_T011"", ""Muzaffarpur_T012"", ""Muzaffarpur_T013"", ""Muzaffarpur_T014"", ""Muzaffarpur_T015"", ""Muzaffarpur_T016"", ""Muzaffarpur_T017"", ""Muzaffarpur_T018"", ""Muzaffarpur_T019"", ""Muzaffarpur_T020""]"
REP_0062,TER_0062,vijayapura_south_062,Karnataka,Vijayapura,"[""Vijayapura_T010"", ""Vijayapura_T011"", ""Vijayapura_T012"", ""Vijayapura_T013"", ""Vijayapura_T014"", ""Vijayapura_T015"", ""Vijayapura_T016"", ""Vijayapura_T017"", ""Vijayapura_T018"", ""Vijayapura_T019"", ""Vijayapura_T020"", ""Vijayapura_T021""]"
REP_0063,TER_0063,meerut_east_063,Uttar Pradesh,Meerut,"[""Meerut_T008"", ""Meerut_T009"", ""Meerut_T010"", ""Meerut_T011"", ""Meerut_T012"", ""Meerut_T013"", ""Meerut_T014"", ""Meerut_T015"", ""Meerut_T016"", ""Meerut_T017"", ""Meerut_T018"", ""Meerut_T019"", ""Meerut_T020""]"
REP_0064,TER_0064,mehsana_west_064,Gujarat,Mehsana,"[""Mehsana_T013"", ""Mehsana_T014"", ""Mehsana_T015"", ""Mehsana_T016"", ""Mehsana_T017"", ""Mehsana_T018"", ""Mehsana_T019"", ""Mehsana_T020""]"
REP_0065,TER_0065,amritsar_central_065,Punjab,Amritsar,"[""Amritsar_T011"", ""Amritsar_T012"", ""Amritsar_T013"", ""Amritsar_T014"", ""Amritsar_T015"", ""Amritsar_T016"", ""Amritsar_T017"", ""Amritsar_T018"", ""Amritsar_T019"", ""Amritsar_T020""]"
REP_0066,TER_0066,rohtak_north_066,Haryana,Rohtak,"[""Rohtak_T014"", ""Rohtak_T015"", ""Rohtak_T016"", ""Rohtak_T017"", ""Rohtak_T018"", ""Rohtak_T019"", ""Rohtak_T020"", ""Rohtak_T021""]"
REP_0067,TER_0067,patna_south_067,Bihar,Patna,"[""Patna_T024"", ""Patna_T025"", ""Patna_T026"", ""Patna_T027"", ""Patna_T028"", ""Patna_T029"", ""Patna_T030"", ""Patna_T031"", ""Patna_T032""]"
REP_0068,TER_0068,hisar_east_068,Haryana,Hisar,"[""Hisar_T020"", ""Hisar_T021"", ""Hisar_T022"", ""Hisar_T023"", ""Hisar_T024"", ""Hisar_T025"", ""Hisar_T026"", ""Hisar_T027"", ""Hisar_T028"", ""Hisar_T029"", ""Hisar_T030"", ""Hisar_T031"", ""Hisar_T032"", ""Hisar_T033""]"
REP_0069,TER_0069,varanasi_west_069,Uttar Pradesh,Varanasi,"[""Varanasi_T022"", ""Varanasi_T023"", ""Varanasi_T024"", ""Varanasi_T025"", ""Varanasi_T026"", ""Varanasi_T027"", ""Varanasi_T028"", ""Varanasi_T029"", ""Varanasi_T030"", ""Varanasi_T031"", ""Varanasi_T032"", ""Varanasi_T033"", ""Varanasi_T034"", ""Varanasi_T035""]"
REP_0070,TER_0070,bharatpur_central_070,Rajasthan,Bharatpur,"[""Bharatpur_T020"", ""Bharatpur_T021"", ""Bharatpur_T022"", ""Bharatpur_T023"", ""Bharatpur_T024"", ""Bharatpur_T025"", ""Bharatpur_T026"", ""Bharatpur_T027"", ""Bharatpur_T028"", ""Bharatpur_T029""]"
REP_0071,TER_0071,jalgaon_north_071,Maharashtra,Jalgaon,"[""Jalgaon_T019"", ""Jalgaon_T020"", ""Jalgaon_T021"", ""Jalgaon_T022"", ""Jalgaon_T023"", ""Jalgaon_T024"", ""Jalgaon_T025"", ""Jalgaon_T026"", ""Jalgaon_T027"", ""Jalgaon_T028"", ""Jalgaon_T029"", ""Jalgaon_T030""]"
REP_0072,TER_0072,lucknow_south_072,Uttar Pradesh,Lucknow,"[""Lucknow_T022"", ""Lucknow_T023"", ""Lucknow_T024"", ""Lucknow_T025"", ""Lucknow_T026"", ""Lucknow_T027"", ""Lucknow_T028"", ""Lucknow_T029"", ""Lucknow_T030"", ""Lucknow_T031"", ""Lucknow_T032"", ""Lucknow_T033""]"
REP_0073,TER_0073,ratlam_east_073,Madhya Pradesh,Ratlam,"[""Ratlam_T015"", ""Ratlam_T016"", ""Ratlam_T017"", ""Ratlam_T018"", ""Ratlam_T019"", ""Ratlam_T020"", ""Ratlam_T021"", ""Ratlam_T022"", ""Ratlam_T023"", ""Ratlam_T024"", ""Ratlam_T025""]"
REP_0074,TER_0074,bikaner_west_074,Rajasthan,Bikaner,"[""Bikaner_T016"", ""Bikaner_T017"", ""Bikaner_T018"", ""Bikaner_T019"", ""Bikaner_T020"", ""Bikaner_T021"", ""Bikaner_T022"", ""Bikaner_T023"", ""Bikaner_T024""]"
REP_0075,TER_0075,kanpur_nagar_central_075,Uttar Pradesh,Kanpur Nagar,"[""Kanpur_Nagar_T027"", ""Kanpur_Nagar_T028"", ""Kanpur_Nagar_T029"", ""Kanpur_Nagar_T030"", ""Kanpur_Nagar_T031"", ""Kanpur_Nagar_T032"", ""Kanpur_Nagar_T033"", ""Kanpur_Nagar_T034""]"
REP_0076,TER_0076,sikar_north_076,Rajasthan,Sikar,"[""Sikar_T017"", ""Sikar_T018"", ""Sikar_T019"", ""Sikar_T020"", ""Sikar_T021"", ""Sikar_T022"", ""Sikar_T023"", ""Sikar_T024"", ""Sikar_T025"", ""Sikar_T026"", ""Sikar_T027"", ""Sikar_T028"", ""Sikar_T029"", ""Sikar_T030""]"
REP_0077,TER_0077,sehore_south_077,Madhya Pradesh,Sehore,"[""Sehore_T020"", ""Sehore_T021"", ""Sehore_T022"", ""Sehore_T023"", ""Sehore_T024"", ""Sehore_T025"", ""Sehore_T026"", ""Sehore_T027"", ""Sehore_T028"", ""Sehore_T029"", ""Sehore_T030"", ""Sehore_T031"", ""Sehore_T032""]"
REP_0078,TER_0078,ahmedabad_east_078,Gujarat,Ahmedabad,"[""Ahmedabad_T025"", ""Ahmedabad_T026"", ""Ahmedabad_T027"", ""Ahmedabad_T028"", ""Ahmedabad_T029"", ""Ahmedabad_T030"", ""Ahmedabad_T031""]"
REP_0079,TER_0079,agra_west_079,Uttar Pradesh,Agra,"[""Agra_T023"", ""Agra_T024"", ""Agra_T025"", ""Agra_T026"", ""Agra_T027"", ""Agra_T028""]"
REP_0080,TER_0080,bardhaman_central_080,West Bengal,Bardhaman,"[""Bardhaman_T017"", ""Bardhaman_T018"", ""Bardhaman_T019"", ""Bardhaman_T020"", ""Bardhaman_T021"", ""Bardhaman_T022"", ""Bardhaman_T023""]"
REP_0081,TER_0081,akola_north_081,Maharashtra,Akola,"[""Akola_T028"", ""Akola_T029"", ""Akola_T030"", ""Akola_T031"", ""Akola_T032"", ""Akola_T033"", ""Akola_T034"", ""Akola_T035""]"
REP_0082,TER_0082,sirsa_south_082,Haryana,Sirsa,"[""Sirsa_T024"", ""Sirsa_T025"", ""Sirsa_T026"", ""Sirsa_T027"", ""Sirsa_T028"", ""Sirsa_T029"", ""Sirsa_T030"", ""Sirsa_T031""]"
REP_0083,TER_0083,amravati_east_083,Maharashtra,Amravati,"[""Amravati_T019"", ""Amravati_T020"", ""Amravati_T021"", ""Amravati_T022"", ""Amravati_T023"", ""Amravati_T024"", ""Amravati_T025"", ""Amravati_T026"", ""Amravati_T027"", ""Amravati_T028"", ""Amravati_T029"", ""Amravati_T030""]"
REP_0084,TER_0084,ludhiana_west_084,Punjab,Ludhiana,"[""Ludhiana_T019"", ""Ludhiana_T020"", ""Ludhiana_T021"", ""Ludhiana_T022"", ""Ludhiana_T023"", ""Ludhiana_T024"", ""Ludhiana_T025""]"
REP_0085,TER_0085,kalaburagi_central_085,Karnataka,Kalaburagi,"[""Kalaburagi_T017"", ""Kalaburagi_T018"", ""Kalaburagi_T019"", ""Kalaburagi_T020"", ""Kalaburagi_T021"", ""Kalaburagi_T022"", ""Kalaburagi_T023"", ""Kalaburagi_T024"", ""Kalaburagi_T025"", ""Kalaburagi_T026"", ""Kalaburagi_T027"", ""Kalaburagi_T028""]"
REP_0086,TER_0086,jaipur_north_086,Rajasthan,Jaipur,"[""Jaipur_T021"", ""Jaipur_T022"", ""Jaipur_T023"", ""Jaipur_T024"", ""Jaipur_T025"", ""Jaipur_T026"", ""Jaipur_T027"", ""Jaipur_T028"", ""Jaipur_T029"", ""Jaipur_T030"", ""Jaipur_T031"", ""Jaipur_T032""]"
REP_0087,TER_0087,ujjain_south_087,Madhya Pradesh,Ujjain,"[""Ujjain_T022"", ""Ujjain_T023"", ""Ujjain_T024"", ""Ujjain_T025"", ""Ujjain_T026"", ""Ujjain_T027"", ""Ujjain_T028"", ""Ujjain_T029"", ""Ujjain_T030"", ""Ujjain_T031"", ""Ujjain_T032"", ""Ujjain_T033"", ""Ujjain_T034""]"
REP_0088,TER_0088,bathinda_east_088,Punjab,Bathinda,"[""Bathinda_T024"", ""Bathinda_T025"", ""Bathinda_T026"", ""Bathinda_T027"", ""Bathinda_T028"", ""Bathinda_T029"", ""Bathinda_T030"", ""Bathinda_T031"", ""Bathinda_T032"", ""Bathinda_T033"", ""Bathinda_T034"", ""Bathinda_T035"", ""Bathinda_T036"", ""Bathinda_T037""]"
