id,campaign_product,campaign_crop,grower_id,message_sent_date,delivered_status,opened_status,clicked_status
WAM_RABI25_00028,Tilt 250 EC,wheat,GRW_00038,2026-01-17,true,true,false
WAM_RABI25_00029,Tilt 250 EC,wheat,GRW_00040,2025-10-17,true,true,false
WAM_RABI25_00030,Tilt 250 EC,wheat,GRW_00041,2026-02-26,true,false,false
WAM_RABI25_00031,Score 250 EC,mustard,GRW_00042,2025-11-10,true,false,false
WAM_RABI25_00032,Tilt 250 EC,wheat,GRW_00043,2025-10-16,true,false,false
WAM_RABI25_00033,Amistar 250 SC,chickpea,GRW_00045,2026-01-08,true,true,false
WAM_RABI25_00034,Score 250 EC,mustard,GRW_00046,2025-10-27,true,false,false
WAM_RABI25_00035,Kavach 75 WP,potato,GRW_00047,2025-10-19,true,false,false
WAM_RABI25_00036,Tilt 250 EC,wheat,GRW_00048,2026-01-11,true,false,false
WAM_RABI25_00037,Tilt 250 EC,wheat,GRW_00049,2026-01-25,true,false,false
WAM_RABI25_00038,Tilt 250 EC,wheat,GRW_00050,2025-10-17,true,true,false
WAM_RABI25_00039,Amistar 250 SC,chickpea,GRW_00051,2026-01-06,true,true,false
WAM_RABI25_00040,Kavach 75 WP,potato,GRW_00052,2025-11-02,true,false,false
WAM_RABI25_00041,Tilt 250 EC,wheat,GRW_00053,2025-11-10,true,false,false
WAM_RABI25_00042,Amistar 250 SC,chickpea,GRW_00054,2026-03-17,true,false,false
WAM_RABI25_00043,Tilt 250 EC,wheat,GRW_00055,2026-02-27,true,false,false
WAM_RABI25_00044,Tilt 250 EC,wheat,GRW_00056,2025-10-16,true,false,false
WAM_RABI25_00045,Amistar 250 SC,chickpea,GRW_00057,2026-01-17,true,false,false
WAM_RABI25_00046,Tilt 250 EC,wheat,GRW_00058,2025-11-25,true,false,false
WAM_RABI25_00047,Amistar 250 SC,chickpea,GRW_00059,2025-10-12,true,false,false
WAM_RABI25_00048,Score 250 EC,mustard,GRW_00061,2025-10-19,true,false,false
WAM_RABI25_00049,Amistar 250 SC,chickpea,GRW_00062,2025-10-24,true,false,false
WAM_RABI25_00050,Score 250 EC,mustard,GRW_00063,2025-10-08,true,false,false
WAM_RABI25_00051,Score 250 EC,mustard,GRW_00064,2025-11-06,true,true,false
WAM_RABI25_00052,Tilt 250 EC,wheat,GRW_00065,2025-10-10,true,false,false
WAM_RABI25_00053,Score 250 EC,mustard,GRW_00066,2026-01-20,true,true,false
WAM_RABI25_00054,Tilt 250 EC,wheat,GRW_00067,2026-01-14,true,false,false
WAM_RABI25_00055,Tilt 250 EC,wheat,GRW_00068,2026-03-10,true,false,false
WAM_RABI25_00056,Score 250 EC,mustard,GRW_00069,2025-10-31,true,false,false
WAM_RABI25_00057,Tilt 250 EC,wheat,GRW_00072,2026-01-29,true,false,false
WAM_RABI25_00058,Tilt 250 EC,wheat,GRW_00073,2025-12-05,true,false,false
WAM_RABI25_00059,Tilt 250 EC,wheat,GRW_00075,2025-10-18,true,false,false
WAM_RABI25_00060,Tilt 250 EC,wheat,GRW_00076,2026-03-14,true,true,false
WAM_RABI25_00061,Tilt 250 EC,wheat,GRW_00077,2025-11-24,true,false,false
WAM_RABI25_00062,Tilt 250 EC,wheat,GRW_00078,2025-10-08,true,false,false
WAM_RABI25_00063,Amistar 250 SC,barley,GRW_00079,2025-11-02,true,false,false
WAM_RABI25_00064,Score 250 EC,mustard,GRW_00080,2025-12-10,true,false,false
WAM_RABI25_00065,Amistar 250 SC,chickpea,GRW_00082,2026-01-30,true,false,false
WAM_RABI25_00066,Amistar 250 SC,chickpea,GRW_00083,2026-01-11,true,false,false
WAM_RABI25_00067,Amistar 250 SC,lentil,GRW_00084,2026-01-30,true,true,false
WAM_RABI25_00068,Kavach 75 WP,potato,GRW_00086,2026-02-04,true,true,true
WAM_RABI25_00069,Amistar 250 SC,chickpea,GRW_00087,2025-11-07,true,false,false
WAM_RABI25_00070,Amistar 250 SC,chickpea,GRW_00088,2025-12-27,true,false,false
WAM_RABI25_00071,Amistar 250 SC,lentil,GRW_00089,2025-10-27,true,true,false
WAM_RABI25_00072,Amistar 250 SC,chickpea,GRW_00091,2025-10-06,true,false,false
WAM_RABI25_00073,Tilt 250 EC,wheat,GRW_00092,2026-01-08,true,false,false
WAM_RABI25_00074,Score 250 EC,safflower,GRW_00094,2026-03-23,true,true,false
WAM_RABI25_00075,Tilt 250 EC,wheat,GRW_00095,2026-02-19,true,false,false
WAM_RABI25_00076,Amistar 250 SC,chickpea,GRW_00096,2025-11-23,true,false,false
WAM_RABI25_00077,Tilt 250 EC,wheat,GRW_00097,2025-10-22,true,false,false
WAM_RABI25_00078,Score 250 EC,mustard,GRW_00098,2025-11-23,true,false,false
WAM_RABI25_00079,Kavach 75 WP,potato,GRW_00100,2025-10-09,true,true,false
WAM_RABI25_00080,Kavach 75 WP,potato,GRW_00101,2025-12-18,true,false,false
WAM_RABI25_00081,Tilt 250 EC,wheat,GRW_00102,2025-10-22,true,false,false
WAM_RABI25_00082,Amistar 250 SC,chickpea,GRW_00103,2025-10-07,true,false,false
WAM_RABI25_00083,Tilt 250 EC,wheat,GRW_00104,2026-01-24,true,true,false
WAM_RABI25_00084,Tilt 250 EC,wheat,GRW_00105,2026-02-04,true,true,true
WAM_RABI25_00085,Tilt 250 EC,wheat,GRW_00106,2025-11-19,true,false,false
WAM_RABI25_00086,Tilt 250 EC,wheat,GRW_00107,2025-11-17,true,false,false
WAM_RABI25_00087,Tilt 250 EC,wheat,GRW_00109,2025-10-11,true,false,false
WAM_RABI25_00088,Score 250 EC,mustard,GRW_00111,2025-12-04,true,false,false
WAM_RABI25_00089,Tilt 250 EC,wheat,GRW_00112,2025-11-08,true,true,true
WAM_RABI25_00090,Tilt 250 EC,wheat,GRW_00113,2025-12-30,true,false,false
WAM_RABI25_00091,Tilt 250 EC,wheat,GRW_00114,2026-01-15,true,false,false
WAM_RABI25_00092,Tilt 250 EC,wheat,GRW_00116,2025-10-13,true,false,false
WAM_RABI25_00093,Tilt 250 EC,wheat,GRW_00118,2025-11-05,true,false,false
WAM_RABI25_00094,Tilt 250 EC,wheat,GRW_00119,2025-10-13,true,false,false
WAM_RABI25_00095,Kavach 75 WP,potato,GRW_00122,2025-12-17,true,false,false
WAM_RABI25_00096,Tilt 250 EC,wheat,GRW_00124,2025-12-04,true,false,false
WAM_RABI25_00097,Amistar 250 SC,barley,GRW_00126,2025-11-10,true,false,false
WAM_RABI25_00098,Score 250 EC,safflower,GRW_00128,2025-12-12,true,false,false
WAM_RABI25_00099,Tilt 250 EC,wheat,GRW_00129,2025-10-08,true,false,false
WAM_RABI25_00100,Tilt 250 EC,wheat,GRW_00130,2025-12-26,true,false,false
WAM_RABI25_00101,Amistar 250 SC,barley,GRW_00131,2025-10-08,true,false,false
WAM_RABI25_00102,Score 250 EC,mustard,GRW_00133,2025-10-09,true,false,false
WAM_RABI25_00103,Score 250 EC,mustard,GRW_00134,2025-11-06,true,false,false
WAM_RABI25_00104,Tilt 250 EC,wheat,GRW_00135,2025-10-22,true,false,false
WAM_RABI25_00105,Amistar 250 SC,chickpea,GRW_00136,2025-10-26,true,false,false
WAM_RABI25_00106,Tilt 250 EC,wheat,GRW_00137,2025-11-25,true,false,false
WAM_RABI25_00107,Score 250 EC,mustard,GRW_00138,2026-01-13,true,false,false
WAM_RABI25_00108,Tilt 250 EC,wheat,GRW_00139,2026-02-16,true,true,false
WAM_RABI25_00109,Tilt 250 EC,wheat,GRW_00140,2025-11-15,true,false,false
WAM_RABI25_00110,Kavach 75 WP,potato,GRW_00141,2026-02-10,true,false,false
WAM_RABI25_00111,Tilt 250 EC,wheat,GRW_00142,2025-12-08,true,false,false
WAM_RABI25_00112,Amistar 250 SC,lentil,GRW_00144,2025-11-14,true,false,false
WAM_RABI25_00113,Tilt 250 EC,wheat,GRW_00145,2025-11-18,true,false,false
WAM_RABI25_00114,Tilt 250 EC,wheat,GRW_00148,2025-11-09,true,true,false
WAM_RABI25_00115,Tilt 250 EC,wheat,GRW_00149,2026-01-06,true,false,false
WAM_RABI25_00116,Score 250 EC,mustard,GRW_00151,2025-11-24,true,true,false
WAM_RABI25_00117,Tilt 250 EC,wheat,GRW_00153,2025-10-10,true,false,false
WAM_RABI25_00118,Amistar 250 SC,barley,GRW_00154,2025-12-09,true,false,false
WAM_RABI25_00119,Tilt 250 EC,wheat,GRW_00156,2025-11-26,true,false,false
WAM_RABI25_00120,Score 250 EC,safflower,GRW_00157,2025-10-14,true,false,false
WAM_RABI25_00121,Amistar 250 SC,cumin,GRW_00158,2026-02-10,true,false,false
WAM_RABI25_00122,Amistar 250 SC,chickpea,GRW_00159,2025-10-13,true,false,false
WAM_RABI25_00123,Score 250 EC,mustard,GRW_00160,2025-11-09,true,true,false
WAM_RABI25_00124,Score 250 EC,safflower,GRW_00161,2025-11-07,true,false,false
WAM_RABI25_00125,Tilt 250 EC,wheat,GRW_00162,2025-12-17,true,false,false
WAM_RABI25_00126,Score 250 EC,safflower,GRW_00163,2025-12-31,true,false,false
WAM_RABI25_00127,Tilt 250 EC,wheat,GRW_00164,2025-11-30,true,false,false
WAM_RABI25_00128,Kavach 75 WP,potato,GRW_00165,2025-10-09,true,true,false
WAM_RABI25_00129,Amistar 250 SC,chickpea,GRW_00168,2025-11-20,true,false,false
WAM_RABI25_00130,Tilt 250 EC,wheat,GRW_00169,2025-12-24,true,true,false
WAM_RABI25_00131,Score 250 EC,mustard,GRW_00170,2025-10-06,false,false,false
WAM_RABI25_00132,Tilt 250 EC,wheat,GRW_00171,2026-02-20,true,false,false
WAM_RABI25_00133,Kavach 75 WP,potato,GRW_00172,2025-11-12,true,false,false
WAM_RABI25_00134,Kavach 75 WP,potato,GRW_00173,2025-11-09,true,false,false
WAM_RABI25_00135,Tilt 250 EC,wheat,GRW_00174,2025-10-08,true,false,false
WAM_RABI25_00136,Tilt 250 EC,wheat,GRW_00177,2025-10-07,true,true,false
WAM_RABI25_00137,Tilt 250 EC,wheat,GRW_00178,2025-10-17,true,false,false
WAM_RABI25_00138,Tilt 250 EC,wheat,GRW_00179,2026-02-20,true,false,false
WAM_RABI25_00139,Tilt 250 EC,wheat,GRW_00180,2026-01-10,true,false,false
WAM_RABI25_00140,Amistar 250 SC,barley,GRW_00181,2026-03-27,true,true,false
WAM_RABI25_00141,Tilt 250 EC,wheat,GRW_00182,2026-01-25,true,true,true
WAM_RABI25_00142,Amistar 250 SC,chickpea,GRW_00183,2026-01-10,true,false,false
WAM_RABI25_00143,Amistar 250 SC,chickpea,GRW_00184,2025-12-30,true,false,false
WAM_RABI25_00144,Score 250 EC,mustard,GRW_00185,2025-10-22,true,false,false
WAM_RABI25_00145,Amistar 250 SC,maize,GRW_00186,2026-01-16,true,false,false
WAM_RABI25_00146,Tilt 250 EC,wheat,GRW_00189,2025-11-18,true,true,false
WAM_RABI25_00147,Amistar 250 SC,barley,GRW_00191,2026-01-09,true,false,false
WAM_RABI25_00148,Kavach 75 WP,potato,GRW_00192,2025-11-09,true,false,false
WAM_RABI25_00149,Tilt 250 EC,wheat,GRW_00193,2026-01-20,true,false,false
WAM_RABI25_00150,Tilt 250 EC,wheat,GRW_00194,2025-10-22,true,true,false
WAM_RABI25_00151,Amistar 250 SC,chickpea,GRW_00195,2025-11-20,true,true,false
WAM_RABI25_00152,Tilt 250 EC,wheat,GRW_00197,2025-10-18,true,false,false
WAM_RABI25_00153,Amistar 250 SC,chickpea,GRW_00198,2025-11-19,true,true,false
WAM_RABI25_00154,Amistar 250 SC,chickpea,GRW_00199,2025-11-04,true,true,false
WAM_RABI25_00155,Tilt 250 EC,wheat,GRW_00204,2025-10-08,true,true,false
WAM_RABI25_00156,Tilt 250 EC,wheat,GRW_00205,2025-10-15,true,false,false
WAM_RABI25_00157,Tilt 250 EC,wheat,GRW_00206,2025-10-26,true,false,false
WAM_RABI25_00158,Score 250 EC,safflower,GRW_00207,2025-11-16,true,true,false
WAM_RABI25_00159,Tilt 250 EC,wheat,GRW_00208,2025-11-09,true,true,false
WAM_RABI25_00160,Score 250 EC,mustard,GRW_00209,2025-11-20,true,true,false
WAM_RABI25_00161,Tilt 250 EC,wheat,GRW_00210,2025-11-07,true,false,false
WAM_RABI25_00162,Amistar 250 SC,chickpea,GRW_00211,2025-12-11,true,false,false
WAM_RABI25_00163,Amistar 250 SC,chickpea,GRW_00214,2025-10-21,true,false,false
WAM_RABI25_00164,Amistar 250 SC,maize,GRW_00215,2025-11-05,true,false,false
WAM_RABI25_00165,Amistar 250 SC,barley,GRW_00216,2025-10-09,true,false,false
WAM_RABI25_00166,Amistar 250 SC,chickpea,GRW_00217,2026-03-02,true,false,false
WAM_RABI25_00167,Tilt 250 EC,wheat,GRW_00218,2025-10-09,true,false,false
WAM_RABI25_00168,Amistar 250 SC,barley,GRW_00219,2025-10-09,true,false,false
WAM_RABI25_00169,Amistar 250 SC,chickpea,GRW_00222,2026-01-08,true,true,false
WAM_RABI25_00170,Tilt 250 EC,wheat,GRW_00225,2025-10-14,true,false,false
WAM_RABI25_00171,Amistar 250 SC,chickpea,GRW_00226,2026-03-30,true,false,false
WAM_RABI25_00172,Score 250 EC,mustard,GRW_00227,2025-12-29,true,true,false
WAM_RABI25_00173,Amistar 250 SC,barley,GRW_00228,2026-01-27,true,false,false
WAM_RABI25_00174,Amistar 250 SC,lentil,GRW_00229,2025-12-14,true,false,false
WAM_RABI25_00175,Tilt 250 EC,wheat,GRW_00230,2025-11-30,true,false,false
WAM_RABI25_00176,Amistar 250 SC,chickpea,GRW_00231,2025-10-19,true,false,false
WAM_RABI25_00177,Tilt 250 EC,wheat,GRW_00232,2026-03-31,true,false,false
WAM_RABI25_00178,Score 250 EC,mustard,GRW_00234,2026-01-18,true,false,false
WAM_RABI25_00179,Amistar 250 SC,lentil,GRW_00235,2025-12-14,true,false,false
WAM_RABI25_00180,Tilt 250 EC,wheat,GRW_00238,2026-03-06,true,false,false
WAM_RABI25_00181,Kavach 75 WP,potato,GRW_00239,2025-10-16,true,false,false
WAM_RABI25_00182,Tilt 250 EC,wheat,GRW_00240,2026-01-10,true,false,false
WAM_RABI25_00183,Score 250 EC,safflower,GRW_00243,2025-10-06,true,false,false
WAM_RABI25_00184,Tilt 250 EC,wheat,GRW_00245,2025-10-18,true,false,false
WAM_RABI25_00185,Tilt 250 EC,wheat,GRW_00246,2026-01-14,true,false,false
WAM_RABI25_00186,Amistar 250 SC,chickpea,GRW_00247,2025-10-18,true,false,false
WAM_RABI25_00187,Kavach 75 WP,potato,GRW_00248,2025-10-14,true,true,false
WAM_RABI25_00188,Tilt 250 EC,wheat,GRW_00249,2026-03-31,true,false,false
WAM_RABI25_00189,Tilt 250 EC,wheat,GRW_00250,2025-11-09,true,false,false
WAM_RABI25_00190,Amistar 250 SC,chickpea,GRW_00251,2026-01-06,true,false,false
WAM_RABI25_00191,Tilt 250 EC,wheat,GRW_00252,2026-03-13,true,false,false
WAM_RABI25_00192,Score 250 EC,mustard,GRW_00253,2026-03-18,false,false,false
WAM_RABI25_00193,Tilt 250 EC,wheat,GRW_00254,2025-10-19,true,false,false
WAM_RABI25_00194,Tilt 250 EC,wheat,GRW_00257,2025-12-31,true,false,false
WAM_RABI25_00195,Tilt 250 EC,wheat,GRW_00258,2026-01-02,true,true,false
WAM_RABI25_00196,Tilt 250 EC,wheat,GRW_00259,2026-01-24,true,false,false
WAM_RABI25_00197,Tilt 250 EC,wheat,GRW_00260,2026-02-06,true,false,false
WAM_RABI25_00198,Amistar 250 SC,chickpea,GRW_00261,2026-02-28,true,false,false
WAM_RABI25_00199,Amistar 250 SC,cumin,GRW_00263,2026-01-02,true,false,false
WAM_RABI25_00200,Tilt 250 EC,wheat,GRW_00264,2025-10-15,true,false,false
WAM_RABI25_00201,Tilt 250 EC,wheat,GRW_00265,2025-10-06,true,false,false
WAM_RABI25_00202,Kavach 75 WP,potato,GRW_00266,2025-10-22,true,false,false
WAM_RABI25_00203,Tilt 250 EC,wheat,GRW_00267,2026-02-03,true,true,true
WAM_RABI25_00204,Kavach 75 WP,potato,GRW_00268,2026-01-16,true,false,false
WAM_RABI25_00205,Tilt 250 EC,wheat,GRW_00269,2026-01-23,true,true,false
WAM_RABI25_00206,Amistar 250 SC,barley,GRW_00270,2026-03-31,true,false,false
WAM_RABI25_00207,Tilt 250 EC,wheat,GRW_00271,2025-10-13,true,false,false
WAM_RABI25_00208,Tilt 250 EC,wheat,GRW_00272,2026-01-25,true,false,false
WAM_RABI25_00209,Tilt 250 EC,wheat,GRW_00273,2025-12-18,true,true,false
WAM_RABI25_00210,Amistar 250 SC,chickpea,GRW_00274,2026-01-20,true,true,true
WAM_RABI25_00211,Amistar 250 SC,cumin,GRW_00276,2025-11-13,true,false,false
WAM_RABI25_00212,Tilt 250 EC,wheat,GRW_00277,2025-10-20,true,false,false
WAM_RABI25_00213,Amistar 250 SC,lentil,GRW_00278,2025-11-12,true,false,false
WAM_RABI25_00214,Tilt 250 EC,wheat,GRW_00280,2025-10-22,true,false,false
WAM_RABI25_00215,Kavach 75 WP,potato,GRW_00282,2025-12-12,true,false,false
WAM_RABI25_00216,Tilt 250 EC,wheat,GRW_00283,2025-10-31,true,true,false
WAM_RABI25_00217,Amistar 250 SC,chickpea,GRW_00284,2025-11-12,true,false,false
WAM_RABI25_00218,Tilt 250 EC,wheat,GRW_00285,2026-01-16,true,false,false
WAM_RABI25_00219,Amistar 250 SC,lentil,GRW_00287,2026-04-01,true,false,false
WAM_RABI25_00220,Tilt 250 EC,wheat,GRW_00288,2025-12-16,true,true,false
WAM_RABI25_00221,Tilt 250 EC,wheat,GRW_00291,2025-11-27,true,false,false
WAM_RABI25_00222,Amistar 250 SC,lentil,GRW_00292,2025-10-18,true,true,false
WAM_RABI25_00223,Score 250 EC,mustard,GRW_00293,2025-10-08,true,false,false
WAM_RABI25_00224,Tilt 250 EC,wheat,GRW_00294,2025-12-20,true,false,false
WAM_RABI25_00225,Amistar 250 SC,chickpea,GRW_00295,2025-12-14,true,true,false
WAM_RABI25_00226,Score 250 EC,mustard,GRW_00296,2025-12-21,true,false,false
WAM_RABI25_00227,Tilt 250 EC,wheat,GRW_00298,2025-10-06,true,true,false
WAM_RABI25_00228,Score 250 EC,mustard,GRW_00299,2025-10-15,true,false,false
WAM_RABI25_00229,Tilt 250 EC,wheat,GRW_00301,2025-10-20,true,true,false
WAM_RABI25_00230,Tilt 250 EC,wheat,GRW_00303,2025-11-09,true,true,false
WAM_RABI25_00231,Tilt 250 EC,wheat,GRW_00305,2025-12-02,true,false,false
WAM_RABI25_00232,Tilt 250 EC,wheat,GRW_00306,2025-10-07,true,false,false
WAM_RABI25_00233,Tilt 250 EC,wheat,GRW_00307,2025-12-04,true,true,false
WAM_RABI25_00234,Amistar 250 SC,lentil,GRW_00308,2025-10-06,true,false,false
WAM_RABI25_00235,Tilt 250 EC,wheat,GRW_00310,2025-10-18,true,false,false
WAM_RABI25_00236,Amistar 250 SC,barley,GRW_00311,2025-10-29,true,false,false
WAM_RABI25_00237,Tilt 250 EC,wheat,GRW_00312,2026-03-18,true,false,false
WAM_RABI25_00238,Tilt 250 EC,wheat,GRW_00313,2025-10-11,true,false,false
WAM_RABI25_00239,Score 250 EC,mustard,GRW_00314,2025-10-06,true,false,false
WAM_RABI25_00240,Tilt 250 EC,wheat,GRW_00315,2026-01-16,true,false,false
WAM_RABI25_00241,Tilt 250 EC,wheat,GRW_00316,2025-11-24,true,true,true
WAM_RABI25_00242,Tilt 250 EC,wheat,GRW_00317,2026-01-24,true,false,false
WAM_RABI25_00243,Amistar 250 SC,chickpea,GRW_00318,2025-12-26,true,false,false
WAM_RABI25_00244,Kavach 75 WP,potato,GRW_00319,2025-10-07,true,true,false
WAM_RABI25_00245,Kavach 75 WP,potato,GRW_00321,2025-10-22,true,true,false
WAM_RABI25_00246,Tilt 250 EC,wheat,GRW_00322,2025-11-25,true,false,false
WAM_RABI25_00247,Amistar 250 SC,chickpea,GRW_00323,2026-02-03,true,false,false
WAM_RABI25_00248,Tilt 250 EC,wheat,GRW_00325,2026-02-04,true,false,false
WAM_RABI25_00249,Tilt 250 EC,wheat,GRW_00326,2025-10-30,true,false,false
WAM_RABI25_00250,Score 250 EC,safflower,GRW_00327,2025-10-25,true,false,false
WAM_RABI25_00251,Tilt 250 EC,wheat,GRW_00328,2025-12-17,true,false,false
WAM_RABI25_00252,Tilt 250 EC,wheat,GRW_00329,2026-01-12,true,false,false
WAM_RABI25_00253,Amistar 250 SC,chickpea,GRW_00330,2025-12-07,true,false,false
WAM_RABI25_00254,Tilt 250 EC,wheat,GRW_00332,2025-12-26,true,false,false
WAM_RABI25_00255,Tilt 250 EC,wheat,GRW_00333,2025-10-27,true,true,true
WAM_RABI25_00256,Tilt 250 EC,wheat,GRW_00334,2025-10-19,true,false,false
WAM_RABI25_00257,Tilt 250 EC,wheat,GRW_00337,2026-01-27,true,false,false
WAM_RABI25_00258,Tilt 250 EC,wheat,GRW_00338,2025-12-18,true,false,false
WAM_RABI25_00259,Tilt 250 EC,wheat,GRW_00340,2026-01-28,true,false,false
WAM_RABI25_00260,Amistar 250 SC,lentil,GRW_00341,2026-01-12,true,false,false
WAM_RABI25_00261,Amistar 250 SC,chickpea,GRW_00342,2026-01-04,true,false,false
WAM_RABI25_00262,Tilt 250 EC,wheat,GRW_00344,2025-10-11,true,false,false
WAM_RABI25_00263,Tilt 250 EC,wheat,GRW_00345,2025-11-17,true,false,false
WAM_RABI25_00264,Tilt 250 EC,wheat,GRW_00346,2025-10-11,true,false,false
WAM_RABI25_00265,Tilt 250 EC,wheat,GRW_00348,2025-12-18,false,false,false
WAM_RABI25_00266,Score 250 EC,mustard,GRW_00349,2025-12-07,true,false,false
WAM_RABI25_00267,Tilt 250 EC,wheat,GRW_00350,2025-11-10,true,false,false
WAM_RABI25_00268,Tilt 250 EC,wheat,GRW_00351,2026-01-16,true,false,false
WAM_RABI25_00269,Tilt 250 EC,wheat,GRW_00352,2025-11-28,true,false,false
WAM_RABI25_00270,Tilt 250 EC,wheat,GRW_00353,2025-10-27,true,false,false
WAM_RABI25_00271,Kavach 75 WP,potato,GRW_00354,2025-12-31,true,false,false
WAM_RABI25_00272,Tilt 250 EC,wheat,GRW_00355,2025-10-06,true,false,false
WAM_RABI25_00273,Score 250 EC,mustard,GRW_00356,2025-10-22,true,false,false
WAM_RABI25_00274,Tilt 250 EC,wheat,GRW_00357,2025-10-20,true,true,false
WAM_RABI25_00275,Tilt 250 EC,wheat,GRW_00359,2025-12-07,false,false,false
WAM_RABI25_00276,Tilt 250 EC,wheat,GRW_00361,2025-10-08,true,false,false
WAM_RABI25_00277,Tilt 250 EC,wheat,GRW_00362,2026-01-08,true,false,false
WAM_RABI25_00278,Amistar 250 SC,chickpea,GRW_00363,2025-10-07,true,false,false
WAM_RABI25_00279,Score 250 EC,mustard,GRW_00364,2025-12-05,true,true,false
WAM_RABI25_00280,Amistar 250 SC,chickpea,GRW_00365,2025-10-21,true,true,true
WAM_RABI25_00281,Tilt 250 EC,wheat,GRW_00366,2026-01-10,true,false,false
WAM_RABI25_00282,Tilt 250 EC,wheat,GRW_00367,2025-10-22,true,false,false
WAM_RABI25_00283,Score 250 EC,mustard,GRW_00370,2025-11-20,true,true,false
WAM_RABI25_00284,Score 250 EC,mustard,GRW_00372,2025-10-11,true,false,false
WAM_RABI25_00285,Tilt 250 EC,wheat,GRW_00374,2025-12-14,true,true,false
WAM_RABI25_00286,Tilt 250 EC,wheat,GRW_00377,2025-10-21,true,false,false
WAM_RABI25_00287,Score 250 EC,mustard,GRW_00378,2025-11-17,true,true,false
WAM_RABI25_00288,Amistar 250 SC,lentil,GRW_00379,2025-11-19,true,true,true
WAM_RABI25_00289,Tilt 250 EC,wheat,GRW_00380,2025-10-09,true,false,false
WAM_RABI25_00290,Amistar 250 SC,chickpea,GRW_00381,2025-11-02,true,false,false
WAM_RABI25_00291,Tilt 250 EC,wheat,GRW_00382,2026-01-26,true,false,false
WAM_RABI25_00292,Tilt 250 EC,wheat,GRW_00383,2025-10-17,true,false,false
WAM_RABI25_00293,Score 250 EC,mustard,GRW_00387,2026-02-03,true,false,false
WAM_RABI25_00294,Tilt 250 EC,wheat,GRW_00388,2026-01-13,true,true,false
WAM_RABI25_00295,Tilt 250 EC,wheat,GRW_00390,2025-10-06,true,false,false
WAM_RABI25_00296,Tilt 250 EC,wheat,GRW_00391,2025-12-22,true,true,true
WAM_RABI25_00297,Amistar 250 SC,chickpea,GRW_00393,2025-10-06,true,false,false
WAM_RABI25_00298,Tilt 250 EC,wheat,GRW_00395,2025-10-08,true,true,false
WAM_RABI25_00299,Tilt 250 EC,wheat,GRW_00397,2025-12-03,true,true,false
WAM_RABI25_00300,Score 250 EC,mustard,GRW_00400,2025-10-20,true,true,false
WAM_RABI25_00301,Amistar 250 SC,barley,GRW_00401,2025-11-07,true,false,false
WAM_RABI25_00302,Score 250 EC,mustard,GRW_00402,2025-10-14,true,true,false
WAM_RABI25_00303,Amistar 250 SC,maize,GRW_00404,2026-02-10,true,true,false
WAM_RABI25_00304,Tilt 250 EC,wheat,GRW_00406,2025-10-22,true,false,false
