rep_id,visit_date,territory_id,visit_tehsil,visit_type,product_recommended
REP_0334,2026-02-11,TER_0334,Bharatpur_T118,retailer meeting,Tilt 250 EC
REP_0334,2026-02-15,TER_0334,Bharatpur_T115,campaign_conducted,Score 250 EC
REP_0225,2025-11-20,TER_0225,Karnal_T071,campaign_conducted,Tilt 250 EC
REP_0225,2025-11-17,TER_0225,Karnal_T068,campaign_conducted,Vibrance Integral
REP_0225,2025-11-19,TER_0225,Karnal_T075,retailer meeting,Kavach 75 WP
REP_0225,2025-11-21,TER_0225,Karnal_T072,campaign_conducted,Actara 25 WG
REP_0225,2025-11-17,TER_0225,Karnal_T067,retailer meeting,Alto 5 SC
REP_0225,2025-11-18,TER_0225,Karnal_T066,retailer meeting,Vertimec 1.8 EC
REP_0289,2026-03-19,TER_0289,Patiala_T071,retailer meeting,Actara 25 WG
REP_0289,2026-03-20,TER_0289,Patiala_T075,grower meeting,Amistar 250 SC
REP_0388,2025-12-12,TER_0388,Patiala_T107,retailer meeting,Alto 5 SC
REP_0388,2025-12-08,TER_0388,Patiala_T107,retailer meeting,Vibrance Integral
REP_0388,2025-12-14,TER_0388,Patiala_T103,campaign_conducted,Amistar 250 SC
REP_0388,2025-12-14,TER_0388,Patiala_T113,grower meeting,Kavach 75 WP
REP_0388,2025-12-11,TER_0388,Patiala_T112,campaign_conducted,Tilt 250 EC
REP_0388,2025-12-12,TER_0388,Patiala_T108,grower meeting,Cruiser 350 FS
REP_0388,2025-12-13,TER_0388,Patiala_T103,retailer meeting,Alto 5 SC
REP_0293,2025-12-25,TER_0293,Vijayapura_T085,grower meeting,Axial 50 EC
REP_0293,2025-12-23,TER_0293,Vijayapura_T088,grower meeting,Actara 25 WG
REP_0293,2025-12-27,TER_0293,Vijayapura_T077,grower meeting,Tilt 250 EC
REP_0293,2025-12-26,TER_0293,Vijayapura_T085,campaign_conducted,Kavach 75 WP
REP_0293,2025-12-25,TER_0293,Vijayapura_T085,campaign_conducted,Actara 25 WG
REP_0293,2025-12-28,TER_0293,Vijayapura_T087,campaign_conducted,Actara 25 WG
REP_0293,2025-12-25,TER_0293,Vijayapura_T084,grower meeting,Tilt 250 EC
REP_0022,2026-03-07,TER_0022,Bathinda_T011,campaign_conducted,Kavach 75 WP
REP_0022,2026-03-06,TER_0022,Bathinda_T011,retailer meeting,Amistar 250 SC
REP_0022,2026-03-02,TER_0022,Bathinda_T008,grower meeting,Alto 5 SC
REP_0022,2026-03-07,TER_0022,Bathinda_T010,grower meeting,Tilt 250 EC
REP_0022,2026-03-03,TER_0022,Bathinda_T004,grower meeting,Vibrance Integral
REP_0451,2025-10-02,TER_0451,Bathinda_T148,retailer meeting,Vibrance Integral
REP_0451,2025-10-03,TER_0451,Bathinda_T157,retailer meeting,Kavach 75 WP
REP_0451,2025-10-03,TER_0451,Bathinda_T151,campaign_conducted,Vertimec 1.8 EC
REP_0451,2025-09-30,TER_0451,Bathinda_T157,campaign_conducted,Actara 25 WG
REP_0451,2025-10-02,TER_0451,Bathinda_T150,campaign_conducted,Amistar 250 SC
REP_0451,2025-10-02,TER_0451,Bathinda_T150,campaign_conducted,Vertimec 1.8 EC
REP_0451,2025-10-01,TER_0451,Bathinda_T152,campaign_conducted,Kavach 75 WP
REP_0451,2025-09-30,TER_0451,Bathinda_T157,campaign_conducted,Amistar 250 SC
REP_0451,2025-09-30,TER_0451,Bathinda_T148,campaign_conducted,Alto 5 SC
REP_0469,2026-03-11,TER_0469,Ratlam_T148,retailer meeting,Axial 50 EC
REP_0378,2026-01-21,TER_0378,Akola_T113,campaign_conducted,Tilt 250 EC
REP_0378,2026-01-21,TER_0378,Akola_T118,retailer meeting,Kavach 75 WP
REP_0378,2026-01-21,TER_0378,Akola_T115,retailer meeting,Movondo
REP_0378,2026-01-20,TER_0378,Akola_T115,retailer meeting,Topik 15 WP
REP_0378,2026-01-25,TER_0378,Akola_T116,campaign_conducted,Actara 25 WG
REP_0378,2026-01-25,TER_0378,Akola_T114,campaign_conducted,Amistar 250 SC
REP_0378,2026-01-25,TER_0378,Akola_T115,campaign_conducted,Actara 25 WG
REP_0146,2025-11-14,TER_0146,Bardhaman_T038,campaign_conducted,Kavach 75 WP
REP_0146,2025-11-11,TER_0146,Bardhaman_T049,grower meeting,Cruiser 350 FS
REP_0146,2025-11-11,TER_0146,Bardhaman_T048,retailer meeting,Alto 5 SC
REP_0146,2025-11-11,TER_0146,Bardhaman_T046,grower meeting,Tilt 250 EC
REP_0146,2025-11-12,TER_0146,Bardhaman_T038,campaign_conducted,Amistar 250 SC
REP_0146,2025-11-16,TER_0146,Bardhaman_T047,retailer meeting,Cruiser 350 FS
REP_0146,2025-11-16,TER_0146,Bardhaman_T044,retailer meeting,Amistar 250 SC
REP_0115,2026-01-20,TER_0115,Sirsa_T037,grower meeting,Kavach 75 WP
REP_0115,2026-01-25,TER_0115,Sirsa_T032,retailer meeting,Cruiser 350 FS
REP_0115,2026-01-20,TER_0115,Sirsa_T032,grower meeting,Vibrance Integral
REP_0115,2026-01-19,TER_0115,Sirsa_T034,campaign_conducted,Kavach 75 WP
REP_0348,2026-01-28,TER_0348,Ludhiana_T103,retailer meeting,Vertimec 1.8 EC
REP_0348,2026-01-27,TER_0348,Ludhiana_T099,retailer meeting,Axial 50 EC
REP_0334,2025-10-11,TER_0334,Bharatpur_T114,retailer meeting,Kavach 75 WP
REP_0334,2025-10-12,TER_0334,Bharatpur_T116,grower meeting,Amistar 250 SC
REP_0449,2025-10-01,TER_0449,Jaipur_T124,grower meeting,Movondo
REP_0449,2025-10-02,TER_0449,Jaipur_T128,campaign_conducted,Amistar 250 SC
REP_0449,2025-09-30,TER_0449,Jaipur_T127,grower meeting,Vibrance Integral
REP_0449,2025-10-05,TER_0449,Jaipur_T129,retailer meeting,Axial 50 EC
REP_0449,2025-09-29,TER_0449,Jaipur_T131,grower meeting,Cruiser 350 FS
REP_0449,2025-09-30,TER_0449,Jaipur_T126,campaign_conducted,Actara 25 WG
REP_0449,2025-10-05,TER_0449,Jaipur_T124,retailer meeting,Vibrance Integral
REP_0449,2025-10-04,TER_0449,Jaipur_T132,retailer meeting,Axial 50 EC
REP_0449,2025-09-30,TER_0449,Jaipur_T128,retailer meeting,Topik 15 WP
REP_0449,2025-10-05,TER_0449,Jaipur_T125,retailer meeting,Vibrance Integral
REP_0449,2025-10-04,TER_0449,Jaipur_T130,campaign_conducted,Kavach 75 WP
REP_0449,2025-09-29,TER_0449,Jaipur_T132,retailer meeting,Axial 50 EC
REP_0337,2026-03-23,TER_0337,Ratlam_T108,retailer meeting,Axial 50 EC
REP_0337,2026-03-25,TER_0337,Ratlam_T099,campaign_conducted,Kavach 75 WP
REP_0337,2026-03-26,TER_0337,Ratlam_T103,campaign_conducted,Cruiser 350 FS
REP_0337,2026-03-25,TER_0337,Ratlam_T100,campaign_conducted,Cruiser 350 FS
REP_0064,2026-01-21,TER_0064,Mehsana_T014,retailer meeting,Tilt 250 EC
REP_0064,2026-01-24,TER_0064,Mehsana_T015,campaign_conducted,Cruiser 350 FS
REP_0064,2026-01-23,TER_0064,Mehsana_T018,retailer meeting,Topik 15 WP
REP_0064,2026-01-19,TER_0064,Mehsana_T015,retailer meeting,Score 250 EC
REP_0064,2026-01-20,TER_0064,Mehsana_T015,campaign_conducted,Score 250 EC
REP_0064,2026-01-25,TER_0064,Mehsana_T014,retailer meeting,Amistar 250 SC
REP_0064,2026-01-23,TER_0064,Mehsana_T015,campaign_conducted,Kavach 75 WP
REP_0064,2026-01-23,TER_0064,Mehsana_T018,campaign_conducted,Amistar 250 SC
REP_0064,2026-01-25,TER_0064,Mehsana_T014,retailer meeting,Score 250 EC
REP_0089,2025-11-02,TER_0089,Indore_T029,retailer meeting,Cruiser 350 FS
REP_0089,2025-11-02,TER_0089,Indore_T021,retailer meeting,Topik 15 WP
REP_0089,2025-11-02,TER_0089,Indore_T021,grower meeting,Alto 5 SC
REP_0089,2025-11-02,TER_0089,Indore_T029,retailer meeting,Movondo
REP_0089,2025-11-01,TER_0089,Indore_T022,campaign_conducted,Alto 5 SC
REP_0089,2025-10-27,TER_0089,Indore_T025,grower meeting,Kavach 75 WP
REP_0089,2025-10-31,TER_0089,Indore_T024,campaign_conducted,Score 250 EC
REP_0089,2025-11-02,TER_0089,Indore_T022,campaign_conducted,Alto 5 SC
REP_0089,2025-11-02,TER_0089,Indore_T028,retailer meeting,Kavach 75 WP
REP_0089,2025-10-29,TER_0089,Indore_T023,grower meeting,Topik 15 WP
REP_0431,2025-10-25,TER_0431,Hisar_T128,campaign_conducted,Kavach 75 WP
REP_0431,2025-10-20,TER_0431,Hisar_T131,campaign_conducted,Topik 15 WP
REP_0431,2025-10-26,TER_0431,Hisar_T125,grower meeting,Alto 5 SC
REP_0431,2025-10-21,TER_0431,Hisar_T124,campaign_conducted,Amistar 250 SC
REP_0431,2025-10-24,TER_0431,Hisar_T125,retailer meeting,Actara 25 WG
REP_0431,2025-10-22,TER_0431,Hisar_T127,campaign_conducted,Axial 50 EC
REP_0417,2025-12-29,TER_0417,Ujjain_T137,retailer meeting,Axial 50 EC
REP_0417,2025-12-29,TER_0417,Ujjain_T131,campaign_conducted,Movondo
REP_0462,2026-01-29,TER_0462,Rohtak_T140,campaign_conducted,Axial 50 EC
REP_0462,2026-01-29,TER_0462,Rohtak_T139,grower meeting,Axial 50 EC
REP_0016,2026-02-17,TER_0016,Sirsa_T011,retailer meeting,Cruiser 350 FS
REP_0016,2026-02-19,TER_0016,Sirsa_T004,grower meeting,Kavach 75 WP
REP_0016,2026-02-18,TER_0016,Sirsa_T003,grower meeting,Kavach 75 WP
REP_0016,2026-02-21,TER_0016,Sirsa_T010,campaign_conducted,Actara 25 WG
REP_0016,2026-02-20,TER_0016,Sirsa_T008,retailer meeting,Cruiser 350 FS
REP_0016,2026-02-21,TER_0016,Sirsa_T012,campaign_conducted,Actara 25 WG
REP_0016,2026-02-16,TER_0016,Sirsa_T012,campaign_conducted,Cruiser 350 FS
REP_0016,2026-02-18,TER_0016,Sirsa_T007,retailer meeting,Vertimec 1.8 EC
REP_0016,2026-02-21,TER_0016,Sirsa_T012,grower meeting,Vibrance Integral
REP_0016,2026-02-21,TER_0016,Sirsa_T002,campaign_conducted,Score 250 EC
REP_0016,2026-02-19,TER_0016,Sirsa_T008,campaign_conducted,Axial 50 EC
REP_0016,2026-02-16,TER_0016,Sirsa_T003,grower meeting,Vibrance Integral
REP_0414,2026-02-14,TER_0414,Ludhiana_T116,retailer meeting,Vibrance Integral
REP_0012,2025-12-16,TER_0012,Ahmedabad_T006,campaign_conducted,Kavach 75 WP
REP_0012,2025-12-16,TER_0012,Ahmedabad_T011,campaign_conducted,Cruiser 350 FS
REP_0012,2025-12-17,TER_0012,Ahmedabad_T011,grower meeting,Score 250 EC
REP_0012,2025-12-21,TER_0012,Ahmedabad_T001,grower meeting,Score 250 EC
REP_0012,2025-12-16,TER_0012,Ahmedabad_T001,retailer meeting,Axial 50 EC
REP_0218,2026-02-01,TER_0218,Jaipur_T055,campaign_conducted,Cruiser 350 FS
REP_0218,2026-01-30,TER_0218,Jaipur_T053,campaign_conducted,Kavach 75 WP
REP_0218,2026-02-01,TER_0218,Jaipur_T052,campaign_conducted,Tilt 250 EC
REP_0218,2026-01-27,TER_0218,Jaipur_T057,retailer meeting,Amistar 250 SC
REP_0218,2026-01-31,TER_0218,Jaipur_T054,retailer meeting,Vibrance Integral
REP_0218,2026-01-28,TER_0218,Jaipur_T052,retailer meeting,Kavach 75 WP
REP_0385,2025-10-19,TER_0385,Bathinda_T128,grower meeting,Alto 5 SC
REP_0385,2025-10-15,TER_0385,Bathinda_T130,retailer meeting,Tilt 250 EC
REP_0385,2025-10-15,TER_0385,Bathinda_T126,campaign_conducted,Axial 50 EC
REP_0385,2025-10-14,TER_0385,Bathinda_T122,retailer meeting,Score 250 EC
REP_0385,2025-10-17,TER_0385,Bathinda_T124,grower meeting,Vertimec 1.8 EC
REP_0319,2026-03-18,TER_0319,Bathinda_T108,campaign_conducted,Alto 5 SC
REP_0319,2026-03-21,TER_0319,Bathinda_T110,grower meeting,Cruiser 350 FS
REP_0319,2026-03-21,TER_0319,Bathinda_T109,grower meeting,Actara 25 WG
REP_0319,2026-03-18,TER_0319,Bathinda_T109,campaign_conducted,Kavach 75 WP
REP_0319,2026-03-18,TER_0319,Bathinda_T111,campaign_conducted,Topik 15 WP
REP_0319,2026-03-18,TER_0319,Bathinda_T110,campaign_conducted,Cruiser 350 FS
REP_0319,2026-03-21,TER_0319,Bathinda_T106,campaign_conducted,Topik 15 WP
REP_0319,2026-03-17,TER_0319,Bathinda_T110,retailer meeting,Vibrance Integral
REP_0205,2026-02-08,TER_0205,Ratlam_T059,retailer meeting,Vibrance Integral
REP_0205,2026-02-04,TER_0205,Ratlam_T059,retailer meeting,Amistar 250 SC
REP_0205,2026-02-04,TER_0205,Ratlam_T069,retailer meeting,Cruiser 350 FS
REP_0205,2026-02-06,TER_0205,Ratlam_T066,retailer meeting,Topik 15 WP
REP_0308,2026-01-06,TER_0308,Sehore_T086,retailer meeting,Axial 50 EC
REP_0308,2026-01-10,TER_0308,Sehore_T086,campaign_conducted,Alto 5 SC
REP_0308,2026-01-05,TER_0308,Sehore_T089,retailer meeting,Amistar 250 SC
REP_0308,2026-01-06,TER_0308,Sehore_T085,grower meeting,Actara 25 WG
REP_0308,2026-01-08,TER_0308,Sehore_T087,retailer meeting,Actara 25 WG
REP_0308,2026-01-09,TER_0308,Sehore_T085,campaign_conducted,Kavach 75 WP
REP_0308,2026-01-07,TER_0308,Sehore_T087,retailer meeting,Axial 50 EC
REP_0276,2026-03-28,TER_0276,Ahmedabad_T087,campaign_conducted,Actara 25 WG
REP_0041,2026-02-04,TER_0041,Bikaner_T011,campaign_conducted,Topik 15 WP
REP_0041,2026-02-08,TER_0041,Bikaner_T013,campaign_conducted,Tilt 250 EC
REP_0041,2026-02-04,TER_0041,Bikaner_T012,campaign_conducted,Tilt 250 EC
REP_0041,2026-02-07,TER_0041,Bikaner_T012,campaign_conducted,Topik 15 WP
REP_0041,2026-02-07,TER_0041,Bikaner_T010,campaign_conducted,Actara 25 WG
REP_0041,2026-02-02,TER_0041,Bikaner_T013,retailer meeting,Cruiser 350 FS
REP_0041,2026-02-04,TER_0041,Bikaner_T012,campaign_conducted,Alto 5 SC
REP_0045,2025-11-03,TER_0045,Ahmedabad_T013,campaign_conducted,Kavach 75 WP
REP_0045,2025-11-08,TER_0045,Ahmedabad_T021,campaign_conducted,Cruiser 350 FS
REP_0045,2025-11-07,TER_0045,Ahmedabad_T016,campaign_conducted,Actara 25 WG
REP_0466,2025-10-28,TER_0466,Bharatpur_T155,grower meeting,Cruiser 350 FS
REP_0466,2025-10-31,TER_0466,Bharatpur_T158,campaign_conducted,Amistar 250 SC
REP_0466,2025-10-30,TER_0466,Bharatpur_T157,retailer meeting,Axial 50 EC
REP_0466,2025-10-31,TER_0466,Bharatpur_T159,campaign_conducted,Amistar 250 SC
REP_0466,2025-10-27,TER_0466,Bharatpur_T157,grower meeting,Axial 50 EC
REP_0466,2025-10-29,TER_0466,Bharatpur_T163,retailer meeting,Score 250 EC
REP_0466,2025-10-31,TER_0466,Bharatpur_T165,campaign_conducted,Actara 25 WG
REP_0466,2025-10-30,TER_0466,Bharatpur_T161,grower meeting,Axial 50 EC
REP_0466,2025-10-30,TER_0466,Bharatpur_T164,retailer meeting,Kavach 75 WP
REP_0466,2025-10-30,TER_0466,Bharatpur_T156,grower meeting,Alto 5 SC
REP_0466,2025-11-02,TER_0466,Bharatpur_T155,grower meeting,Alto 5 SC
REP_0466,2025-10-27,TER_0466,Bharatpur_T153,campaign_conducted,Topik 15 WP
REP_0173,2026-03-11,TER_0173,Bikaner_T045,retailer meeting,Axial 50 EC
REP_0173,2026-03-09,TER_0173,Bikaner_T052,grower meeting,Axial 50 EC
REP_0173,2026-03-11,TER_0173,Bikaner_T050,retailer meeting,Cruiser 350 FS
REP_0054,2025-10-15,TER_0054,Ujjain_T016,retailer meeting,Axial 50 EC
REP_0054,2025-10-18,TER_0054,Ujjain_T017,campaign_conducted,Kavach 75 WP
REP_0054,2025-10-13,TER_0054,Ujjain_T011,campaign_conducted,Kavach 75 WP
REP_0054,2025-10-15,TER_0054,Ujjain_T021,campaign_conducted,Actara 25 WG
REP_0054,2025-10-14,TER_0054,Ujjain_T016,grower meeting,Kavach 75 WP
REP_0447,2025-10-12,TER_0447,Ludhiana_T132,retailer meeting,Vibrance Integral
REP_0447,2025-10-11,TER_0447,Ludhiana_T138,retailer meeting,Tilt 250 EC
REP_0447,2025-10-12,TER_0447,Ludhiana_T133,campaign_conducted,Topik 15 WP
REP_0447,2025-10-10,TER_0447,Ludhiana_T132,campaign_conducted,Actara 25 WG
REP_0447,2025-10-08,TER_0447,Ludhiana_T134,campaign_conducted,Cruiser 350 FS
REP_0447,2025-10-09,TER_0447,Ludhiana_T131,retailer meeting,Amistar 250 SC
REP_0447,2025-10-07,TER_0447,Ludhiana_T139,grower meeting,Alto 5 SC
REP_0447,2025-10-11,TER_0447,Ludhiana_T138,campaign_conducted,Amistar 250 SC
REP_0447,2025-10-09,TER_0447,Ludhiana_T140,retailer meeting,Alto 5 SC
REP_0447,2025-10-12,TER_0447,Ludhiana_T135,campaign_conducted,Amistar 250 SC
REP_0447,2025-10-08,TER_0447,Ludhiana_T139,retailer meeting,Vibrance Integral
REP_0202,2025-10-26,TER_0202,Bharatpur_T077,grower meeting,Actara 25 WG
REP_0202,2025-10-23,TER_0202,Bharatpur_T084,retailer meeting,Vibrance Integral
REP_0202,2025-10-23,TER_0202,Bharatpur_T078,retailer meeting,Alto 5 SC
REP_0202,2025-10-23,TER_0202,Bharatpur_T075,retailer meeting,Tilt 250 EC
REP_0202,2025-10-22,TER_0202,Bharatpur_T077,grower meeting,Vertimec 1.8 EC
REP_0059,2026-01-08,TER_0059,Nadia_T019,campaign_conducted,Amistar 250 SC
REP_0059,2026-01-08,TER_0059,Nadia_T019,retailer meeting,Alto 5 SC
REP_0059,2026-01-06,TER_0059,Nadia_T019,campaign_conducted,Amistar 250 SC
REP_0059,2026-01-06,TER_0059,Nadia_T014,campaign_conducted,Cruiser 350 FS
REP_0059,2026-01-10,TER_0059,Nadia_T016,campaign_conducted,Topik 15 WP
REP_0059,2026-01-06,TER_0059,Nadia_T014,retailer meeting,Topik 15 WP
REP_0059,2026-01-08,TER_0059,Nadia_T019,campaign_conducted,Amistar 250 SC
REP_0059,2026-01-09,TER_0059,Nadia_T015,retailer meeting,Score 250 EC
REP_0213,2025-11-06,TER_0213,Akola_T073,grower meeting,Kavach 75 WP
REP_0213,2025-11-08,TER_0213,Akola_T073,retailer meeting,Vertimec 1.8 EC
REP_0213,2025-11-08,TER_0213,Akola_T072,retailer meeting,Topik 15 WP
REP_0127,2025-12-29,TER_0127,Muzaffarpur_T031,campaign_conducted,Amistar 250 SC
REP_0127,2026-01-02,TER_0127,Muzaffarpur_T037,grower meeting,Vibrance Integral
REP_0396,2026-02-25,TER_0396,Rohtak_T120,retailer meeting,Movondo
REP_0396,2026-02-25,TER_0396,Rohtak_T123,campaign_conducted,Topik 15 WP
REP_0396,2026-03-01,TER_0396,Rohtak_T116,grower meeting,Axial 50 EC
REP_0396,2026-02-28,TER_0396,Rohtak_T120,campaign_conducted,Actara 25 WG
REP_0396,2026-02-27,TER_0396,Rohtak_T123,grower meeting,Movondo
REP_0396,2026-02-28,TER_0396,Rohtak_T115,grower meeting,Kavach 75 WP
REP_0396,2026-02-26,TER_0396,Rohtak_T116,grower meeting,Axial 50 EC
REP_0396,2026-02-25,TER_0396,Rohtak_T121,retailer meeting,Vibrance Integral
REP_0396,2026-03-01,TER_0396,Rohtak_T122,retailer meeting,Score 250 EC
REP_0495,2026-01-25,TER_0495,Rohtak_T147,campaign_conducted,Actara 25 WG
REP_0495,2026-01-21,TER_0495,Rohtak_T147,campaign_conducted,Score 250 EC
REP_0495,2026-01-19,TER_0495,Rohtak_T145,campaign_conducted,Actara 25 WG
REP_0495,2026-01-20,TER_0495,Rohtak_T149,retailer meeting,Alto 5 SC
REP_0145,2025-10-30,TER_0145,Agra_T039,retailer meeting,Movondo
REP_0145,2025-10-27,TER_0145,Agra_T046,campaign_conducted,Tilt 250 EC
REP_0145,2025-10-28,TER_0145,Agra_T038,grower meeting,Cruiser 350 FS
REP_0145,2025-10-30,TER_0145,Agra_T043,campaign_conducted,Actara 25 WG
REP_0145,2025-10-29,TER_0145,Agra_T043,grower meeting,Cruiser 350 FS
REP_0119,2026-02-12,TER_0119,Jaipur_T034,grower meeting,Cruiser 350 FS
REP_0119,2026-02-12,TER_0119,Jaipur_T039,retailer meeting,Alto 5 SC
REP_0119,2026-02-15,TER_0119,Jaipur_T038,retailer meeting,Vibrance Integral
REP_0119,2026-02-11,TER_0119,Jaipur_T038,grower meeting,Amistar 250 SC
REP_0119,2026-02-09,TER_0119,Jaipur_T035,grower meeting,Axial 50 EC
REP_0119,2026-02-12,TER_0119,Jaipur_T036,retailer meeting,Movondo
REP_0119,2026-02-15,TER_0119,Jaipur_T038,campaign_conducted,Amistar 250 SC
REP_0119,2026-02-12,TER_0119,Jaipur_T038,retailer meeting,Amistar 250 SC
REP_0131,2025-10-02,TER_0131,Amritsar_T034,campaign_conducted,Amistar 250 SC
REP_0131,2025-10-04,TER_0131,Amritsar_T035,campaign_conducted,Tilt 250 EC
REP_0131,2025-10-01,TER_0131,Amritsar_T037,campaign_conducted,Movondo
REP_0174,2026-03-14,TER_0174,Kanpur_Nagar_T063,grower meeting,Amistar 250 SC
REP_0174,2026-03-09,TER_0174,Kanpur_Nagar_T066,grower meeting,Cruiser 350 FS
REP_0174,2026-03-13,TER_0174,Kanpur_Nagar_T070,campaign_conducted,Vertimec 1.8 EC
REP_0174,2026-03-12,TER_0174,Kanpur_Nagar_T060,retailer meeting,Score 250 EC
REP_0269,2026-02-20,TER_0269,Jalgaon_T081,campaign_conducted,Amistar 250 SC
REP_0269,2026-02-19,TER_0269,Jalgaon_T083,campaign_conducted,Amistar 250 SC
REP_0269,2026-02-20,TER_0269,Jalgaon_T080,retailer meeting,Actara 25 WG
REP_0269,2026-02-21,TER_0269,Jalgaon_T085,retailer meeting,Tilt 250 EC
REP_0269,2026-02-16,TER_0269,Jalgaon_T080,grower meeting,Actara 25 WG
REP_0269,2026-02-21,TER_0269,Jalgaon_T079,retailer meeting,Topik 15 WP
REP_0269,2026-02-22,TER_0269,Jalgaon_T082,campaign_conducted,Vibrance Integral
REP_0269,2026-02-16,TER_0269,Jalgaon_T081,retailer meeting,Alto 5 SC
REP_0269,2026-02-17,TER_0269,Jalgaon_T084,campaign_conducted,Cruiser 350 FS
REP_0269,2026-02-21,TER_0269,Jalgaon_T079,grower meeting,Kavach 75 WP
REP_0269,2026-02-18,TER_0269,Jalgaon_T079,grower meeting,Kavach 75 WP
REP_0269,2026-02-17,TER_0269,Jalgaon_T083,campaign_conducted,Kavach 75 WP
REP_0030,2025-12-23,TER_0030,Meerut_T003,campaign_conducted,Alto 5 SC
